index,x,y,z
3,352,52.008,285
0,436.5412,0,262.7731
0,407.1491,0,268.028
0,493.1383,0,243.5195
0,441.8519,0,253.1682
0,366.1039,0,235.6156
0,398.2167,0,245.8456
0,459.4027,0,255.2546
0,405.9956,0,279.1307
0,439.8366,0,257.4661
0,483.6971,0,244.9501
0,436.2183,0,225.5808
0,397.3229,0,238.6752
0,407.3237,0,240.3913
0,415.5765,0,260.9532
0,381.3357,0,234.8562
0,367.2875,0,242.7198
0,470.0295,0,271.129
0,378.2452,0,240.8227
0,441.8052,0,219.8479
0,402.8739,0,260.035
0,417.8447,0,283.0453
0,409.8077,0,228.7012
0,484.1177,0,249.2003
0,465.7709,0,270.5861
0,501.4493,0,250.7909
0,494.3838,0,261.813
0,505.6597,0,266.269
0,479.2624,0,254.8506
0,372.043,0,242.4323
0,468.6109,0,283.733
0,490.3539,0,275.8592
0,443.1784,0,272.5705
0,501.8339,0,251.6978
0,355.192,0,263.6371
0,478.4631,0,273.0649
0,414.0841,0,235.8329
0,380.1108,0,247.5766
0,411.3191,0,283.5371
0,377.4192,0,257.5405
0,402.0576,0,283.3026
0,370.4214,0,245.4
0,364.9682,0,233.5245
0,390.2128,0,265.7453
0,460.4369,0,270.7627
0,364.4821,0,223.1976
0,408.277,0,262.5046
0,445.4897,0,274.2405
0,473.2044,0,219.509
0,476.3098,0,251.7241
0,367.2621,0,245.7118
0,481.7767,0,255.032
0,391.221,0,225.4126
0,390.322,0,283.9158
0,398.5952,0,242.0118
0,469.6916,0,263.8775
0,477.3893,0,274.697
0,420.7809,0,219.5539
0,383.0089,0,227.0872
0,469.209,0,247.7091
0,381.521,0,263.4473
0,402.9435,0,222.2438
0,460.1432,0,278.5396
0,352.507,0,275.5057
0,418.5658,0,257.5682
0,446.1904,0,280.3316
0,379.0344,0,219.5599
0,390.4722,0,235.4157
0,398.9793,0,246.1182
0,441.667,0,267.4135
0,458.5423,0,266.5226
0,465.8519,0,255.9224
0,489.3018,0,278.4589
0,373.8089,0,243.7649
0,442.638,0,253.0911
0,501.795,0,221.613
0,451.005,0,279.3009
0,422.1129,0,272.878
0,499.4628,0,227.7426
0,470.48,0,273.8463
0,379.4661,0,255.7018
0,438.6249,0,282.2019
0,382.9363,0,257.8381
0,425.6287,0,240.3749
0,493.6473,0,284.7288
0,365.5891,0,252.721
0,382.848,0,254.3702
0,353.1607,0,272.3782
0,374.8313,0,263.2383
0,357.9691,0,278.898
0,429.6136,0,252.2561
0,501.1469,0,263.3709
0,371.7227,0,252.4763
0,386.598,0,263.511
0,487.7741,0,242.2177
0,384.4762,0,254.524
0,454.8082,0,241.4607
0,438.8599,0,222.067
0,505.7347,0,224.9123
0,365.8066,0,241.1776
0,434.6054,0,238.1832
0,459.8393,0,266.2386
0,503.4622,0,276.0738
0,412.8309,0,237.4589
0,386.5414,0,258.3698
0,467.4477,0,236.5931
0,402.981,0,268.4023
0,388.2015,0,258.4044
0,368.2681,0,237.4442
0,464.9554,0,262.4693
0,386.5713,0,253.592
0,419.5816,0,272.3681
0,357.2725,0,221.6068
0,444.0494,0,256.7733
0,359.4182,0,225.8226
0,399.2761,0,245.2886
0,476.9661,0,219.6737
0,379.0227,0,230.1798
0,393.9763,0,241.3457
0,365.7901,0,252.7543
0,418.8731,0,276.2823
0,491.0271,0,243.9874
0,411.316,0,235.328
0,447.8813,0,249.8333
0,402.4424,0,221.9427
0,498.4855,0,254.5736
0,417.2,0,281.3654
0,461.8636,0,251.8546
0,369.544,0,274.813
0,353.4087,0,266.6422
0,429.7204,0,276.4766
0,397.4097,0,270.3835
0,392.4304,0,232.1137
0,394.9833,0,248.2267
0,486.864,0,260.0093
0,467.6267,0,231.7155
0,378.5654,0,252.4447
0,468.6696,0,238.9671
