index,x,y,z
5,544,19.208,19
0,465.2567,0,638.5663
0,370.7414,0,135.0186
0,18.90665,0,812.7516
0,497.5053,0,534.8739
0,183.0282,0,178.2298
0,116.1781,0,665.8698
0,519.7454,0,453.5613
0,6.714684,0,450.286
0,189.6988,0,846.6376
0,359.0442,0,606.7874
0,274.9561,0,593.4033
0,115.9782,0,564.3635
0,28.12078,0,989.1508
0,107.7592,0,432.5305
0,203.9894,0,478.4727
0,538.7297,0,750.8534
0,486.2204,0,892.1265
0,145.979,0,473.7739
0,1.267101,0,761.6058
0,455.0909,0,970.5595
0,359.1539,0,60.77085
0,81.41899,0,729.4853
0,126.6234,0,372.4861
0,522.8837,0,558.7661
0,526.6799,0,883.847
0,203.5356,0,376.5429
0,94.61101,0,413.4509
0,212.049,0,901.7517
0,186.2436,0,901.1286
0,493.3741,0,601.4428
0,319.766,0,155.5698
0,17.27645,0,276.1433
0,177.7791,0,49.23192
0,413.9412,0,268.2108
0,197.5955,0,158.7339
0,378.476,0,52.87724
0,302.8105,0,318.5688
0,284.0903,0,702.7384
0,533.7303,0,857.4886
0,96.13336,0,370.5264
0,523.5103,0,956.5696
0,250.3535,0,20.38507
0,75.74832,0,983.7756
0,87.64204,0,63.06297
0,486.6712,0,948.3428
0,4.361607,0,106.1241
0,332.0584,0,364.2372
0,293.3563,0,864.9944
0,275.688,0,178.7314
0,490.9072,0,775.0425
0,435.8646,0,253.5506
0,413.3545,0,633.5546
0,275.1437,0,641.084
0,86.00478,0,186.6355
0,40.69134,0,971.1771
0,141.1335,0,645.1216
0,449.7684,0,705.1526
0,401.1319,0,302.4571
0,94.88428,0,63.06248
0,390.5527,0,383.803
0,493.6293,0,70.49065
0,27.31515,0,566.5549
0,297.1559,0,845.808
0,195.231,0,839.0638
0,300.4052,0,706.9831
0,5.521381,0,470.7208
0,61.22766,0,298.2935
0,486.7066,0,479.9937
0,536.021,0,379.2547
0,163.377,0,64.43713
0,14.33409,0,527.5198
0,84.08899,0,850.1989
0,314.6672,0,306.894
0,225.8215,0,445.5951
0,292.5822,0,90.67103
0,371.2834,0,348.0394
0,339.9793,0,116.7058
0,539.5175,0,579.7618
0,0.9239159,0,390.8206
0,151.5861,0,735.0999
0,278.8418,0,565.9048
0,375.335,0,892.5203
0,489.1632,0,822.2867
0,357.3112,0,380.1701
0,377.6368,0,542.7074
0,533.5185,0,20.30085
0,305.7939,0,138.6047
0,143.2362,0,317.3724
0,340.4085,0,964.0151
0,406.4476,0,112.6893
0,491.4909,0,509.3112
0,5.914436,0,768.9008
0,45.3984,0,182.583
0,36.64665,0,366.2867
0,124.7926,0,378.931
0,50.2827,0,813.3843
0,286.8145,0,41.80818
0,113.9703,0,545.0089
0,371.6334,0,26.78759
0,63.35033,0,519.2185
0,527.3147,0,715.8774
0,333.2217,0,959.1598
0,223.0823,0,303.5442
0,0.3573875,0,358.5283
0,482.3225,0,988.2194
0,424.7509,0,807.39
0,519.4166,0,147.1873
0,132.5549,0,470.8446
0,37.51298,0,511.9632
0,37.05248,0,559.9658
0,267.5582,0,365.5688
0,439.3234,0,236.5853
0,209.5335,0,573.7834
0,224.5081,0,146.2329
0,164.8786,0,418.575
0,526.9839,0,62.73925
0,442.6776,0,732.219
0,372.4053,0,921.0731
0,97.36713,0,44.16475
0,217.012,0,794.3087
0,384.7636,0,532.5076
0,197.7812,0,206.8019
0,49.93659,0,247.2911
0,296.3042,0,664.0228
0,114.6496,0,942.2853
0,129.696,0,119.6995
0,360.8087,0,47.51666
0,446.8107,0,620.5668
0,324.2038,0,232.4372
0,156.605,0,760.2609
0,449.358,0,682.5536
0,272.4148,0,412.5655
0,448.7469,0,964.4044
0,537.6986,0,455.1412
0,144.4418,0,32.69698
0,497.2756,0,483.3186
0,125.0716,0,156.477
0,124.2088,0,281.1991
0,105.0512,0,629.7153
0,379.1676,0,812.9936
0,537.1491,0,399.6156
0,486.765,0,877.6899
0,93.04417,0,582.5836
0,465.4832,0,919.5359
0,19.8698,0,58.78735
0,468.8582,0,568.7587
0,28.57492,0,753.3812
0,5.78104,0,602.2915
0,40.29478,0,193.078
0,192.7374,0,256.1986
0,492.1746,0,1003.235
0,386.1771,0,262.8726
0,246.3892,0,66.97137
0,374.3911,0,83.97379
0,405.2263,0,960.762
0,284.6185,0,257.4362
0,535.3966,0,856.0666
0,415.7124,0,65.07114
0,387.4497,0,924.9907
0,421.7053,0,597.6417
0,30.29163,0,602.1301
0,212.8422,0,413.0233
0,397.8129,0,193.2389
0,218.3066,0,198.1371
0,434.4429,0,999.8722
0,261.3678,0,919.9144
0,499.057,0,194.981
0,216.0834,0,946.8854
0,238.5074,0,654.4872
0,190.8884,0,306.9069
0,371.4226,0,643.6431
